Time_s,Inference_Only
2.45,0.8605704626395543
2.454,0.11767144633083504
2.457,-0.5902267701631692
2.461,-0.9619001488250642
2.466,-0.5436754206129346
2.469,1.698107342324192
2.474,1.722115098097024
2.478,0.8648229434347705
2.482,0.3541315592362677
2.485,-0.3510354399467768
2.489,-0.9648738814595097
2.493,-0.6999070662455491
2.498,0.34101423659621277
2.501,1.8270817842880835
2.505,1.3025770659417604
2.509,0.8854703340176924
2.512,0.08485463895597167
2.517,-0.5021332045847613
2.521,-0.8612065309541204
2.526,-0.6314672955553053
2.529,1.7112328547085078
2.534,1.6010318655996132
2.537,0.9652080136992862
2.541,0.4601111109041627
2.545,-0.3280389635110361
2.549,-0.9188671528175054
2.553,-0.6901429417008478
2.556,0.43032864822192085
2.561,1.7580132788165188
2.565,1.3117919002051655
2.568,0.9326701533889592
2.572,-0.10038278381797294
2.576,-0.8294830888942886
2.58,-0.9776475696919533
2.583,-0.5360889445095238
2.588,1.4859056740220185
2.593,1.6556937672620213
2.596,0.8121085866548357
2.6,0.16350823087212607
2.604,-0.6099989906612242
2.608,-1.032621711607654
2.612,-0.9472436308595791
2.615,0.08845963218028396
2.62,1.3633045761521094
2.623,1.4347713090846916
2.627,0.6520509922196922
2.631,-0.0643535552659853
2.635,-0.6292559337934653
2.639,-1.1329996756935503
2.642,-0.6112889318699031
2.647,1.4262900091169777
2.652,1.586300459387786
2.655,0.7321179428761551
2.659,0.7713835475954198
2.663,-0.15860200681439363
2.667,-1.2654436094703003
2.671,-1.0019073333876336
2.674,0.294776638857952
2.679,1.6402824108047778
2.683,1.4419748378565922
2.686,0.7810950863645316
2.69,0.03271871830597117
2.694,-1.2332750262524939
2.698,-1.0223825639791162
2.703,-0.45392596913867234
2.706,1.4618729435083075
2.711,1.5960207516557192
2.714,0.7994445275419988
2.718,0.03252021630989166
2.722,-0.876848162534464
2.726,-1.2120624782244507
2.73,-0.8190822950090881
2.733,0.26216437932094383
2.738,1.834281917028025
2.742,1.4569838858852844
2.745,0.7132404524088427
2.749,-0.4421767616070498
2.753,-0.9965519928338193
2.757,-0.8022856376977217
2.762,-0.5045930752477066
2.766,1.405062903277852
2.771,1.6162011025977718
2.774,0.6845576756778811
2.778,0.10887801747036807
2.782,-0.7845605942026741
2.786,-1.0832391994480188
2.789,-0.578158864433115
2.794,-0.061400566314674165
2.799,1.8671295910983514
2.802,1.8096698375983151
2.806,0.7638656323144515
2.81,-0.20919230112629705
2.814,-0.909698188892627
2.817,-1.0269173797154951
2.821,-0.49702034157664965
2.826,1.01692512495559
2.829,1.6511099942160645
2.833,1.0242948841164803
2.837,0.3028555901786598
2.841,-0.7261628454040552
2.844,-1.003302133574008
2.848,-0.736981859977011
2.853,-0.16861586231941272
2.856,1.71498374519931
2.861,1.750025207527945
2.865,0.7047578372418908
2.869,-0.38863770148479615
2.872,-0.8203410994747315
2.876,-0.9495615431592044
2.88,-0.4810999597845127
2.885,0.9731592142746077
2.888,1.743157502955321
2.892,1.0714151458910717
2.896,0.4100486316538001
2.899,-0.4133684061306262
2.903,-1.1011550552269078
2.907,-0.8801880010053571
2.912,-0.3594166994120873
2.915,1.8217775326828134
2.92,1.6971225727700308
2.924,0.6577063618915853
2.928,-0.04728031902980412
2.931,-0.9037172525350763
2.935,-1.0910478622353015
2.943,0.37126466314244055
2.948,1.5277906714204033
2.952,1.381035268705347
2.956,0.5540583233794627
2.959,0.07640016170711172
2.963,-0.4909572294938229
2.967,-1.1748200745969486
2.972,-0.8162401846546232
2.975,1.3467298313330485
2.98,1.6136001832889821
2.984,0.6644544360949638
2.987,0.15608048076377035
2.996,-0.22828153712536814
3.0,-0.8954888042645148
3.003,-0.4845277703901374
3.008,1.016137178884149
3.012,1.1371271028258896
3.016,0.6989083961372815
3.019,0.1875061485554972
3.023,0.13397112739224104
3.027,-0.511249558837275
3.032,-1.2344930420804832
3.035,0.8430555116270151
3.04,1.1760116417494402
3.044,0.584875202060215
3.047,0.1281777491875773
3.051,0.1137168072263286
3.055,-0.017750676826895795
3.059,-0.862833140202913
3.062,-0.48793629487776347
3.067,1.0906381482203198
3.071,1.0784946048534723
3.074,0.7241614238066121
3.078,0.14741101387580757
3.083,0.14533224356797358
3.087,-0.5323853997217389
3.092,-1.1083874147684085
3.095,0.7060418013174949
3.1,0.9955339996673871
3.103,0.6730513563304488
3.107,0.06875304288522388
3.111,0.01712821054083502
3.115,-0.1810078834849218
3.119,-0.7815565234521706
3.122,-0.5706350353113852
3.127,0.698358516403208
3.131,1.1560284476224254
3.134,0.7704067172422442
3.138,0.2597028040837279
3.142,0.019815833057868826
3.151,-0.36605096873850806
3.154,0.4809955293613424
3.159,0.4394992228574939
3.162,0.2978990185612158
3.166,0.12130364100137836
3.17,0.19731775635694726
3.174,0.10318578420149249
3.178,-0.05919663470462089
3.181,-0.46007120736985607
3.186,0.47609112144766996
3.19,0.6248928549238233
3.193,0.4649399049775713
3.197,0.1038468603605236
3.201,0.17571539392059554
3.205,0.18214577510292296
3.21,-0.4557009100434346
3.213,0.4853832416557049
3.218,0.3898508909246514
3.221,0.24708175826496337
3.225,0.21884518285825783
3.229,0.22145069029240716
3.233,0.24838680696811632
3.236,0.22587628361630996
3.241,-0.5557617840962097
3.246,0.7099430805242175
3.249,1.045794352994906
3.254,0.5832046997785203
3.259,0.24542048216391343
3.262,0.33161322176189856
3.267,0.27172213130995093
3.272,-0.12297878949362318
3.275,0.5100959097554201
3.28,0.7112458932708243
3.284,0.2780175333599493
3.287,0.20690677325713924
3.291,0.1494409478146994
3.295,0.3259108084140787
3.299,0.14221725951887398
3.304,-0.5733704336501311
3.307,0.7919434818958129
3.312,0.887635537893865
3.315,0.40032271231071315
3.319,0.08279125284638855
3.323,0.24193847086374554
3.327,0.3406899467337756
3.331,0.02321289174777119
3.334,-0.27958057217044896
3.339,0.8549983171291595
3.343,0.46587762463983395
3.346,0.5281026644828235
3.35,0.1356788496559198
3.354,0.10166686373343037
3.363,0.03697947761808873
3.367,1.2118989610574697
3.37,0.36891999751491866
3.374,-0.30626618075427636
3.378,-0.4740939648722704
3.382,0.1024764766325843
3.386,0.16397840448022327
3.389,0.15941952384654456
3.394,0.854754239390175
3.398,0.6829848545010453
3.402,0.48327904230695484
3.407,1.013060212258643
3.41,0.3735323880139698
3.415,0.32878338385650396
3.42,0.3828436398003068
3.423,0.3422377973782087
3.428,1.1616454793735969
3.431,0.6532454060994812
3.435,0.21870747730454276
3.439,0.09215551168280411
3.443,0.42486021817492103
3.447,0.3248674282500277
3.45,0.5769861803080278
3.457,1.1195073808411427
3.459,0.9017307094786693
3.464,1.0940778561008377
3.468,0.5929142675796588
3.473,0.645405956837712
3.476,0.7674824063842616
3.48,0.5713425484748833
3.486,0.3773886724601976
3.488,1.028199059981894
3.492,0.8823435973228531
3.495,0.6700541728046003
3.499,0.6986873632623603
3.504,1.0825359052135215
3.507,0.6972286042558342
3.512,0.6158790612148306
3.515,0.7438470659960421
3.52,0.8997147003195911
3.523,1.5916501913786174
3.528,1.0305181749528227
3.533,1.2222309594333431
3.536,0.7256341318603434
3.541,0.7097783897742258
3.545,-0.11108483523958723
3.55,0.5149044980381081
3.553,0.39759203578999003
3.558,1.172267482340577
3.561,1.2052677005404977
3.566,0.3589936263087008
3.571,0.4285686380015883
3.575,0.3218331557864471
3.58,-0.3858270490598219
3.583,0.5533346964459875
3.586,1.0142137032681848
3.591,1.3850416433714492
3.594,0.4497844796150079
